Body,Antenna,Eyes,Mouth,Tail,Arms,Legs,Category,Phase,Type,Context,Context_Answer
2,1,1,1,4,1,4,E,Study,,snow_3.jpg,Snow
2,1,1,1,2,1,2,E,Study,,snow_1.jpg,Snow
2,1,1,1,1,1,1,E,Study,,snow_2.jpg,Snow
2,1,1,1,2,1,2,E,Study,,snow_1.jpg,Snow
2,1,1,1,4,1,4,E,Study,,snow_3.jpg,Snow
2,1,1,1,1,1,1,E,Study,,snow_2.jpg,Snow
2,1,1,1,3,1,3,E,Study,,snow_4.jpg,Snow
2,1,1,1,4,1,4,E,Study,,snow_3.jpg,Snow
2,1,1,1,1,1,1,E,Study,,snow_2.jpg,Snow
2,1,1,1,2,1,2,E,Study,,snow_1.jpg,Snow
2,1,1,1,3,1,3,E,Study,,snow_4.jpg,Snow
,,,,,,,,Instruct,,,
,,,,,,,,Instruct,,,
2,1,1,1,4,1,4,E,MemoryTest,Study,,
2,2,2,2,2,2,2,F,MemoryTest,new global,,
2,2,1,1,2,2,2,F,MemoryTest,Study,,
2,3,1,1,5,3,5,G,MemoryTest,new random,,
2,2,1,1,5,2,5,F,MemoryTest,new random,,
2,1,1,1,3,1,3,E,MemoryTest,Study,,
2,1,2,2,3,1,3,E,MemoryTest,new global,,
2,5,3,3,5,5,5,J,MemoryTest,new all,,
2,5,2,2,5,5,5,J,MemoryTest,new all,,
2,2,1,1,4,2,4,F,MemoryTest,Study,,
2,1,1,1,1,1,1,E,MemoryTest,Study,,
2,3,1,1,1,3,1,G,MemoryTest,Study,,
2,3,1,1,2,3,2,G,MemoryTest,Study,,
2,5,1,1,3,5,3,J,MemoryTest,new cat,,
2,4,1,1,4,4,4,H,MemoryTest,Study,,
2,5,1,1,1,5,1,J,MemoryTest,new cat,,
,,,,,,,,Instruct,,,
,,,,,,,,Instruct,,,
2,3,1,1,2,3,2,G,GeneralTest,Study,,
2,4,1,1,3,4,3,H,GeneralTest,Study,,
2,4,1,1,5,4,5,H,GeneralTest,new random,,
2,3,1,1,5,3,5,G,GeneralTest,new random,,
2,3,1,1,4,3,4,G,GeneralTest,Study,,
2,1,1,1,2,1,2,E,GeneralTest,Study,,
2,5,5,5,5,5,5,J,GeneralTest,new all,,
2,1,2,2,3,1,3,E,GeneralTest,new global,,
2,5,1,1,1,5,1,J,GeneralTest,new cat,,
2,4,2,2,1,4,1,H,GeneralTest,new global,,
2,2,1,1,4,2,4,F,GeneralTest,Study,,
2,3,1,1,1,3,1,G,GeneralTest,Study,,
2,4,1,1,2,4,2,H,GeneralTest,Study,,
2,1,1,1,1,1,1,E,GeneralTest,Study,,
2,5,1,1,2,5,2,J,GeneralTest,new cat,,
2,5,2,2,5,5,5,J,GeneralTest,new all,,
,,,,,,,,Instruct,,,
,,,,,,,,Instruct,,,
